county_name,fips_code,state_name,avgCasePerCapita,count
Añasco Municipio,72011,Puerto Rico,104.247418719212,812
Abbeville County,45001,South Carolina,230.328266009852,812
Acadia Parish,22001,Louisiana,208.364168719212,812
Accomack County,51001,Virginia,181.600323891626,812
Ada County,16001,Idaho,239.464056650246,812
Adair County,19001,Iowa,168.267375615764,812
Adair County,21001,Kentucky,260.883378078818,812
Adair County,29001,Missouri,183.720732758621,812
Adair County,40001,Oklahoma,303.176275862069,812
Adams County,8001,Colorado,219.0341908867,812
Adams County,16003,Idaho,107.694086206897,812
Adams County,17001,Illinois,293.355103448276,812
Adams County,18001,Indiana,172.411014778325,812
Adams County,19003,Iowa,157.821480295567,812
Adams County,28001,Mississippi,199.127573891626,812
Adams County,31001,Nebraska,81.6005,812
Adams County,38001,North Dakota,169.112689655172,812
Adams County,39001,Ohio,213.327467980296,812
Adams County,42001,Pennsylvania,207.075737684729,812
Adams County,53001,Washington,209.408314039409,812
Adams County,55001,Wisconsin,193.852863300493,812
Addison County,50001,Vermont,127.894365763547,812
Adjuntas Municipio,72001,Puerto Rico,95.9942709359606,812
Aguada Municipio,72003,Puerto Rico,136.641311576355,812
Aguadilla Municipio,72005,Puerto Rico,113.332837438424,812
Aguas Buenas Municipio,72007,Puerto Rico,124.90472044335,812
Aibonito Municipio,72009,Puerto Rico,124.974236453202,812
Aiken County,45003,South Carolina,209.035693349754,812
Aitkin County,27001,Minnesota,153.045498768473,812
Alachua County,12001,Florida,219.275197044335,812
Alamance County,37001,North Carolina,237.630692118227,812
Alameda County,6001,California,139.460205665025,812
Alamosa County,8003,Colorado,235.001422413793,812
Albany County,36001,New York,167.37072044335,812
Albany County,56001,Wyoming,217.645751231527,812
Albemarle County,51003,Virginia,135.867863300493,812
Alcona County,26001,Michigan,131.177471674877,812
Alcorn County,28003,Mississippi,232.761405172414,812
Aleutians East Borough,2013,Alaska,243.242277093596,812
Aleutians West Census Area,2016,Alaska,229.255533251232,812
Alexander County,17003,Illinois,167.403020935961,812
Alexander County,37003,North Carolina,237.900784482759,812
Alexandria City,51510,Virginia,164.605560344828,812
Alfalfa County,40003,Oklahoma,238.508477832512,812
Alger County,26003,Michigan,152.480568965517,812
Allamakee County,19005,Iowa,169.896208128079,812
Allegan County,26005,Michigan,197.300289408867,812
Allegany County,24001,Maryland,88.8929039408867,812
Allegany County,36003,New York,165.195804187192,812
Alleghany County,37005,North Carolina,215.0776908867,812
Alleghany County,51005,Virginia,188.027501231527,812
Allegheny County,42003,Pennsylvania,187.042710591133,812
Allen County,18003,Indiana,235.769706896552,812
Allen County,20001,Kansas,269.155713054187,812
Allen County,21003,Kentucky,261.287112068966,812
Allen County,39003,Ohio,230.949679802956,812
Allen Parish,22003,Louisiana,245.180926108374,812
