ipsedID,county,fipsCode,school,state,avgCasePerCapita,mask,vaccine
100830,Montgomery County,1101,Auburn University at Montgomery,AL,208.4052069,1,0
100858,Lee County,1081,Auburn University,AL,197.2058596,1,0
101879,Lauderdale County,1077,University of North Alabama,AL,223.7464384,1,1
102368,Pike County,1109,Troy University,AL,191.988665,1,0
102377,Macon County,1087,Tuskegee University,AL,177.3199865,1,0
102553,Anchorage Municipality,2020,University of Alaska Anchorage,AK,308.7216047,1,0
104179,Pima County,4019,University of Arizona,AZ,208.6247303,1,0
106245,Pulaski County,5119,University of Arkansas at Little Rock,AR,226.6153756,1,0
106397,Washington County,5143,University of Arkansas,AR,246.2044889,1,0
107558,Johnson County,5071,University of the Ozarks,AR,216.8308904,1,1
107877,Lawrence County,5075,Williams Baptist University,AR,270.7918571,1,0
110422,San Luis Obispo County,6079,California Polytechnic State University-San Luis Obispo,CA,171.6445468,1,1
110486,Kern County,6029,California State University-Bakersfield,CA,227.7363756,1,1
110495,Stanislaus County,6099,California State University-Stanislaus,CA,210.8018904,1,1
110556,Fresno County,6019,California State University-Fresno,CA,218.9677931,1,1
110680,San Diego County,6073,University of California-San Diego,CA,208.0180788,1,1
115755,Humboldt County,6023,Humboldt State University,CA,126.2733571,1,1
120184,San Mateo County,6081,Notre Dame de Namur University,CA,144.4356244,1,1
123457,Shasta County,6089,Simpson University,CA,175.7887463,1,1
123572,Sonoma County,6097,Sonoma State University,CA,150.0577365,1,1
126562,Adams County,8001,University of Colorado Denver/Anschutz Medical Campus,CO,219.0341909,1,1
126614,Boulder County,8013,University of Colorado Boulder,CO,167.0563288,1,1
126669,Jefferson County,8059,Colorado Christian University,CO,180.322860837438,0,0
128771,Hartford County,9003,Central Connecticut State University,CT,171.7209323,1,1
128902,New London County,9011,Connecticut College,CT,178.6983522,1,1
130697,Middlesex County,9007,Wesleyan University,CT,149.377516,1,1
130794,New Haven County,9009,Yale University,CT,197.6579433,1,1
130934,Kent County,10001,Delaware State University,DE,239.3891293,1,1
130943,New Castle County,10003,University of Delaware,DE,226.2645271,1,1
133669,Palm Beach County,12099,Florida Atlantic University,FL,213.0184138,1,0
137032,Pasco County,12101,Saint Leo University,FL,190.6657709,1,0
137351,Hillsborough County,12057,University of South Florida,FL,220.2466675,1,0
138309,Marion County,12083,Rasmussen University-Florida,FL,196.8460961,1,0
138354,Escambia County,12033,The University of West Florida,FL,220.8806712,1,0
139199,Hall County,13139,Brenau University,GA,224.6441638,1,0
139463,Whitfield County,13313,Dalton State College,GA,280.0068042,1,0
139630,Franklin County,13119,Emmanuel College,GA,192.8701305,1,0
139755,Fulton County,13121,Georgia Institute of Technology-Main Campus,GA,175.842383,1,0
139764,Sumter County,13261,Georgia Southwestern State University,GA,195.6244335,1,0
140447,Bibb County,13021,Mercer University,GA,208.5970899,1,0
141264,Lowndes County,13185,Valdosta State University,GA,227.1285579,1,0
