ipsedID,school,county,fipsCode,state,avgCasePerCapita,vaxPolicySchoolnameCHECK
100830,Auburn University at Montgomery,Montgomery County,1101,AL,208.405206896552,Indiana University at Kokomo
100858,Auburn University,Lee County,1081,AL,197.205859605911,Augsburg University
101541,Judson College,Perry County,1105,AL,184.584206896552,Albion College
102377,Tuskegee University,Macon County,1087,AL,177.319986453202,Duke University
102553,University of Alaska Anchorage,Anchorage Municipality,2020,AK,308.721604679803,University of Baltimore
104179,University of Arizona,Pima County,4019,AZ,208.624730295567,University of Oregon
106245,University of Arkansas at Little Rock,Pulaski County,5119,AR,226.615375615764,University of Hawaii at Hilo
106397,University of Arkansas,Washington County,5143,AR,246.204488916256,University of Redlands
107558,University of the Ozarks,Johnson County,5071,AR,216.830890394089,University of the West
110422,California Polytechnic State University-San Luis Obispo,San Luis Obispo County,6079,CA,171.64454679803,California Polytechnic State University at San Luis Obispo
110495,California State University-Stanislaus,Stanislaus County,6099,CA,210.801890394089,California State University-Stanislaus
110510,California State University-San Bernardino,San Bernardino County,6071,CA,232.108620689655,California State University at San Bernardino
110556,California State University-Fresno,Fresno County,6019,CA,218.967793103448,California State University at Fresno
110671,University of California-Riverside,Riverside County,6065,CA,216.089667487685,University of California at Riverside
115755,Humboldt State University,Humboldt County,6023,CA,126.273357142857,Humboldt State University
126562,University of Colorado Denver/Anschutz Medical Campus,Adams County,8001,CO,219.0341908867,University of Colorado-Anschutz Medical Campus
126614,University of Colorado Boulder,Boulder County,8013,CO,167.056328817734,University of Colorado at Boulder
127741,University of Northern Colorado,Weld County,8123,CO,220.132631773399,University of Northern Colorado
128771,Central Connecticut State University,Hartford County,9003,CT,171.72093226601,Central Connecticut State University
128902,Connecticut College,New London County,9011,CT,178.698352216749,Connecticut College
130697,Wesleyan University,Middlesex County,9007,CT,149.377516009852,Wesleyan University
130794,Yale University,New Haven County,9009,CT,197.657943349754,Yale University
130943,University of Delaware,New Castle County,10003,DE,226.264527093596,University of Delaware
133669,Florida Atlantic University,Palm Beach County,12099,FL,213.018413793103,Clark Atlanta University
133711,Flagler College,St. Johns County,12109,FL,204.372785714286,Wagner College
137032,Saint Leo University,Pasco County,12101,FL,190.665770935961,Saint Louis University
137351,University of South Florida,Hillsborough County,12057,FL,220.246667487685,University of Southern Maine
138309,Rasmussen University-Florida,Marion County,12083,FL,196.846096059113,Husson University
138354,The University of West Florida,Escambia County,12033,FL,220.880671182266,The University of the South
139199,Brenau University,Hall County,13139,GA,224.644163793103,Bryant University
