ipsedID,county,avgCasePerCapita,fipsCode,school,state,flag,stateCHECK,vaxPolicySchoolnameCHECK,announceDateCHECK,typeCHECK,mask,allStudentsCHECK,urlCHECK
100830,Montgomery County,208.405206896552,1101,Auburn University at Montgomery,AL,,IN,Indiana University at Kokomo,2021-05-21,Public,,1,https://www.iu.edu/covid/prevention/covid-19-vaccine.html
100858,Lee County,197.205859605911,1081,Auburn University,AL,,MN,Augsburg University,2021-07-21,Private,,1,https://drive.google.com/file/d/1BTALtRZBsDhowtUh3FEprNCxn84AyBJZ/view
101541,Perry County,184.584206896552,1105,Judson College,AL,,MI,Albion College,2021-05-19,Private,,1,https://www.albion.edu/albion-college-to-require-a-covid-19-vaccination-before-returning-to-campus-for-the-fall-2021-semester/
101879,Lauderdale County,223.746438423645,1077,University of North Alabama,AL,,IN,University of Notre Dame,2021-04-07,Private,,1,https://here.nd.edu/health-safety/covid-19-vaccination-information/faculty-and-staff-vaccination-requirement/
102368,Pike County,191.988665024631,1109,Troy University,AL,,RI,Brown University,2021-04-06,Private,,1,https://www.providencejournal.com/story/news/2021/04/06/brown-begin-requiring-vaccines-students-come-fall/7107713002/
102377,Macon County,177.319986453202,1087,Tuskegee University,AL,,NC,Duke University,2021-04-09,Private,,1,https://today.duke.edu/2021/04/student-vaccination-requirements-fall-semester
102553,Anchorage Municipality,308.721604679803,2020,University of Alaska Anchorage,AK,,MD,University of Baltimore,2021-04-23,Public,,1,https://www.usmd.edu/newsroom/news/2154
104179,Pima County,208.624730295567,4019,University of Arizona,AZ,,OR,University of Oregon,2021-05-10,Public,,1,https://around.uoregon.edu/content/uo-require-covid-19-vaccinations-students-employees
106245,Pulaski County,226.615375615764,5119,University of Arkansas at Little Rock,AR,,HI,University of Hawaii at Hilo,2021-05-17,Public,,1,https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/
106397,Washington County,246.204488916256,5143,University of Arkansas,AR,,CA,University of Redlands,2021-06-15,Private,,1,https://www.redlands.edu/globalassets/ucomm/01-covid-19/employees/docs/ur-covid-vaccination-policy-2021-employees-final.pdf
107558,Johnson County,216.830890394089,5071,University of the Ozarks,AR,,CA,University of the West,2021-07-22,Private,,1,https://www.uwest.edu/coronavirus-information-for-the-uwest-community/
107877,Lawrence County,270.791857142857,5075,Williams Baptist University,AR,,NJ,William Paterson University,2021-06-23,Public,,1,https://myemail.constantcontact.com/WP-Vaccine-Requirements-Update.html?soid=1132109892475&aid=4MVKL3TWSCw
110422,San Luis Obispo County,171.64454679803,6079,California Polytechnic State University-San Luis Obispo,CA,,CA,California Polytechnic State University at San Luis Obispo,2021-04-22,Public,,1,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
110486,Kern County,227.736375615764,6029,California State University-Bakersfield,CA,,CA,California State University at Bakersfield,2021-04-22,Public,,1,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
110495,Stanislaus County,210.801890394089,6099,California State University-Stanislaus,CA,,CA,California State University-Stanislaus,2021-04-22,Public,,1,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
110556,Fresno County,218.967793103448,6019,California State University-Fresno,CA,,CA,California State University at Fresno,2021-04-22,Public,,1,https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx
110680,San Diego County,208.018078817734,6073,University of California-San Diego,CA,,CA,University of California at San Diego,2021-04-22,Public,,1,https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy
