announceDate,type,State,allEmployees,someEmployees,allStudents,resStudentsOnly,boosterRequired,statePol2020,school,url
2021-07-26,Private,NY,0,0,1,0,0,D,Adelphi University,https://www.adelphi.edu/news/covid-19-vaccine-required-for-adelphi-university-students/
2021-08-26,Private,IL,1,0,1,0,0,D,Adler University,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-05-07,Private,GA,1,0,1,0,0,D,Agnes Scott College,https://www.agnesscott.edu/engaging-the-challenge-together//updates/vaccination-policy-fall-semester.html
,Private,NY,1,0,1,0,0,D,Albany College of Pharmacy and Health Sciences,https://myemail.constantcontact.com/2021-22-Campus-Update--1---Updated-Health-and-Safety-Protocols.html?soid=1101058277979&aid=qNzqeL1Mm6A
2021-08-13,Private,NY,1,0,1,0,0,D,Albany Law School,https://www.albanylaw.edu/news/message-the-dean-fall-2021-covid-policies
2021-08-02,Private,NY,1,0,1,0,0,D,Albert Einstein College of Medicine,https://einsteinmed.org/intranet/coronavirus/vaccination/requirements/
2021-06-29,Private,CT,1,0,1,0,1,D,Albertus Magnus College,https://www.albertus.edu/media-public-relations/press-releases/albertus-magnus-college-requiring-COVID-vaccination-for-fall.php
2021-05-19,Private,MI,1,0,1,0,0,D,Albion College,https://www.albion.edu/albion-college-to-require-a-covid-19-vaccination-before-returning-to-campus-for-the-fall-2021-semester/
2021-05-10,Private,NY,0,0,1,0,0,D,Alfred University,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-08-11,Public,CA,1,0,1,0,0,D,Allan Hancock College,https://www.hancockcollege.edu/news/newsreleases/08-11-2021%20AHC%20Vaccination%20Mandate.php
2021-05-18,Private,PA,0,0,1,0,0,D,Allegheny College,https://sites.allegheny.edu/covid19/2021/05/18/covid-19-vaccine-to-be-required-for-allegheny-students/
2021-05-24,Private,PA,0,0,1,0,0,D,Alvernia University,https://www.alvernia.edu/current-students/health-wellness-center/health-alerts
,Private,WI,1,0,1,0,0,D,Alverno College,https://www.alverno.edu/welcoming-you-back-to-campus
2021-08-26,For-profit,IL,1,0,1,0,0,D,Ambria College of Nursing,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-08-26,Private,IL,1,0,1,0,0,D,American Academy of Art,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-07-26,Private,TN,0,0,1,0,0,R,American Baptist College,https://abcnash.edu/covid19/
2021-06-11,Private,MA,1,0,1,0,0,D,American International College,https://www.aic.edu/reopening-2021-2022/
2021-06-21,Private,CA,0,0,1,0,1,D,American Jewish University,https://www.aju.edu/about-aju/covid-19-planning-and-preparation
2021-08-03,Public,CA,1,0,1,0,0,D,American River College,https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement
2021-04-14,Private,DC,1,0,1,0,1,D,American University,https://www.american.edu/media/pr/20210524_vaccine_community_update.cfm
2021-04-23,Private,MA,1,0,1,0,1,D,Amherst College,https://www.amherst.edu/amherst-story/president/statements/node/800628
2021-04-29,Private,MA,1,0,1,0,0,D,Anna Maria College,https://www.masslive.com/worcester/2021/04/anna-maria-college-in-paxton-will-require-students-to-be-vaccinated-against-covid-to-return-to-campus-in-the-fall.html
2021-08-20,Private,WA,1,0,0,0,0,D,Antioch University at Seattle,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
2021-08-17,Private,PA,1,0,1,0,0,D,Arcadia University,https://www.arcadia.edu/announcements/2021/08/17/aug-17-2021-presidential-message-covid-vaccine-requirement-update
2021-10-15,Public,AZ,1,0,0,0,0,D,Arizona State University,https://www.azcentral.com/story/news/local/arizona-education/2021/10/15/asu-ua-nau-arizona-universities-mandate-covid-19-vaccinations-all-employees/8469609002/
2021-06-25,Public,CT,0,0,1,0,0,D,Asnuntuck Community College,https://www.ct.edu/covid19#faqs
2021-04-16,Private,MA,1,0,1,0,0,D,Assumption University,https://www.assumption.edu/news-and-events/news/fall-2021-easing-safety-protocols
2021-07-21,Private,MN,1,0,1,0,0,D,Augsburg University,https://drive.google.com/file/d/1BTALtRZBsDhowtUh3FEprNCxn84AyBJZ/view
2021-08-26,Private,IL,1,0,1,0,0,D,Augustana College,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-08-18,Private,IL,1,0,1,0,0,D,Aurora University,https://aurora.edu/student-life/campus-services/wellness/coronavirus/faq.html
2021-06-07,Private,TX,1,0,1,0,0,R,Austin Presbyterian Theological Seminary,https://www.austinseminary.edu/about/coronavirus-update
,Private,VA,1,0,1,0,0,D,Averett University,https://www.averett.edu/student-life/campus-security/livesafe/
,Private,MA,0,0,1,0,0,D,Babson College,https://www.babson.edu/emergency-preparedness/return-to-campus/#
2021-08-12,Public,CA,1,0,1,0,0,D,Bakersfield College,https://do-prod-webteam-drupalfiles.s3-us-west-2.amazonaws.com/kccdedu/s3fs-public/KCCD%20RESOLUTION%20NO.%20R-4-21_FINAL081221%20-%20OK%20to%20Post.pdf
,Private,NY,0,0,1,0,0,D,Bank Street College of Education,https://graduate.bankstreet.edu/covid-19-vaccination-policy/
2021-05-05,Private,NY,1,0,1,0,0,D,Bard College,https://www.bard.edu/covid19/
2021-04-19,Private,NY,1,0,1,0,0,D,Barnard College,https://barnard.edu/news/student-vaccination-requirement-fall-2021
2021-08-20,Private,WA,1,0,0,0,0,D,Bastyr University,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
2021-05-11,Private,ME,0,0,1,0,0,D,Bates College,https://www.bates.edu/academic-year-2020-21/2021/05/11/covid-19-vaccination-requirements-for-fall-2021-semester/
2021-08-20,Public,WA,1,0,0,0,0,D,Bates Technical College,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
2021-08-25,Public,LA,0,0,1,0,0,R,Baton Rouge Community College,https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates
